10,8,89,15,0
10,8,84,10,0
9,8,91,4,0
12,11,93,11,0
14,12,90,26,0
12,11,91,13,0
11,10,93,8,1
10,8,88,17,1
8,4,81,10,1
6,6,99,7,0
10,7,78,26,0
10,5,69,23,0
7,2,68,18,0
7,6,87,16,0
11,7,81,20,0
7,4,84,7,0
8,8,87,12,0
7,4,77,16,0
5,2,78,8,0
7,6,87,9,0
9,6,85,13,0
5,3,65,23,1
6,1,61,20,0
4,1,59,21,0
4,1,67,19,0
7,4,85,12,0
9,6,85,10,0
6,4,82,7,0
8,4,57,23,1
5,3,79,8,0
8,6,81,11,1
10,8,89,5,0
8,7,92,3,0
9,8,90,6,0
9,7,88,12,0
10,8,88,6,0
8,6,89,8,0
8,6,89,8,0
8,6,86,6,0
11,10,91,20,1
10,6,80,16,1
8,6,85,17,1
7,5,84,10,0
7,4,85,7,0
7,6,89,9,1
7,4,81,8,0
11,9,90,18,1
14,12,91,28,0
15,13,87,29,0
12,10,90,14,1
9,6,82,15,1
10,7,82,16,1
8,7,92,14,1
10,7,84,14,1
8,6,89,5,0
10,9,94,15,1
9,8,95,13,1
6,5,92,7,0
7,5,86,11,0
7,4,82,16,0
7,5,91,13,1
7,3,69,19,0
14,12,91,10,0
12,11,91,8,1
12,10,92,10,0
13,12,90,11,0
14,13,94,20,0
